n_steps,return_mean,return_std
2390000,-2.72,2.3919868
2395000,-2.56,2.3762155
2400000,-2.24,2.38797
2405000,-3.08,2.3650792
2410000,-1.92,2.2524652
2415000,-2.42,2.2723558
2420000,-2.36,2.2870066


5000,-1.56,0.8284926
10000,-1.0,1.0
15000,-0.36,0.7683749
20000,0.0,0.0
25000,-0.78,1.1187493
30000,-1.38,1.3695254
35000,-1.18,1.3067517
40000,-1.02,1.2882546
45000,-0.82,1.2114455
50000,-1.12,1.3362635
55000,-1.32,1.362938
60000,-1.12,1.3362634
65000,-1.0,1.2961481
70000,-1.24,1.289341
75000,-1.04,1.2955308
80000,-0.64,1.1959934
85000,-1.18,1.3955644
90000,-0.88,1.1426284
95000,-1.46,1.3595587
100000,-1.34,1.3207574
105000,-0.8,1.2165526
110000,-1.12,1.3362635
115000,-0.78,1.1711533
120000,-1.24,1.3350655
125000,-1.1,1.3453623
130000,-0.92,1.2302846
135000,-1.06,1.3624977
140000,-1.96,1.3558761
145000,-1.26,1.3536618
150000,-1.0,1.2961481
155000,-1.14,1.3566133
160000,-1.24,1.289341
165000,-1.0,1.2489996
170000,-1.1,1.3453624
175000,-1.18,1.26
180000,-2.26,1.2297966
185000,-2.28,1.2006665
190000,-1.18,1.3067517
195000,-1.88,1.3658698
200000,-1.2,1.3416407
205000,-2.24,1.241934
210000,-1.14,1.3268007
215000,-1.22,1.4183089
220000,-1.28,1.3120975
225000,-1.86,1.4284257
230000,-0.74,1.128007
235000,-0.98,1.2568214
240000,-2.04,1.3705473

5000,-1.4,0.9165151
10000,-1.0,1.0
15000,-0.2,0.6
20000,-1.0,1.2489996
25000,-1.26,1.3237824
30000,-0.96,1.2642784
35000,-1.28,1.3422369
40000,-0.56,0.92
45000,-2.08,2.3310084
50000,-1.84,2.221351
55000,-1.96,2.2446382
60000,-2.6,2.383275
65000,-2.38,2.44041
70000,-2.32,2.4036636
75000,-2.76,2.4046624
80000,-2.36,2.3644028
85000,-1.98,2.3020859
90000,-2.42,2.3331525
95000,-2.28,2.3412817
100000,-1.9,2.1931713
105000,-2.5,2.3430748
110000,-1.7,2.2022715
115000,-2.04,2.3061655
120000,-2.86,2.4249535
125000,-2.38,2.432201
130000,-2.8,2.3748684
135000,-2.3,2.3853722
140000,-2.28,2.2807016
145000,-2.32,2.3953288
150000,-2.16,2.3440135
155000,-2.58,2.38403
160000,-2.44,2.3165493
165000,-2.46,2.351255
170000,-2.14,2.3665166
175000,-2.38,2.2350838
180000,-2.58,2.3587286
185000,-2.52,2.3258545
190000,-2.38,2.3485315
195000,-1.76,2.2499776
200000,-2.16,2.2303362
205000,-2.14,2.2979121
210000,-2.4,2.4166093
215000,-2.56,2.3846173
220000,-2.26,2.439754
225000,-1.38,2.077402
230000,-1.92,2.2524655
235000,-2.46,2.368206
240000,-2.34,2.3883884
245000,-2.74,2.4233036
250000,-2.66,2.3631334
255000,-2.38,2.357032
260000,-2.34,2.294428
265000,-2.6,2.349468
270000,-2.68,2.4284973
275000,-2.62,2.4156988
280000,-1.82,2.303823
285000,-2.26,2.373268
290000,-1.94,2.3187068
295000,-2.42,2.40075
300000,-2.38,2.357032
305000,-1.54,2.109123
310000,-2.08,2.3735206
315000,-2.06,2.2663627
320000,-2.32,2.3953288
